UID,TEST,composite_ID,brier_score,n_items
A035,T2,A035_T2,0.09861904761904762,105
A035,T3,A035_T3,0.16602380952380955,105
A035,T4,A035_T4,0.16376190476190478,105
A036,T1,A036_T1,0.22111904761904763,105
A036,T2,A036_T2,0.18509523809523812,105
A036,T3,A036_T3,0.16847619047619053,105
A036,T4,A036_T4,0.1699761904761905,105
A037,T1,A037_T1,0.1127857142857143,105
A037,T2,A037_T2,0.12371428571428573,105
A037,T3,A037_T3,0.2072857142857143,105
A037,T4,A037_T4,0.14485714285714288,105
A038,T1,A038_T1,0.15235714285714289,105
A038,T2,A038_T2,0.15683333333333338,105
A038,T3,A038_T3,0.13247619047619047,105
A038,T4,A038_T4,0.2323571428571429,105
A039,T1,A039_T1,0.07859523809523808,105
A039,T2,A039_T2,0.07871428571428572,105
A039,T3,A039_T3,0.13995238095238097,105
A039,T4,A039_T4,0.13273809523809527,105
A040,T1,A040_T1,0.1813095238095238,105
A040,T2,A040_T2,0.2322380952380953,105
A040,T3,A040_T3,0.21292857142857144,105
A040,T4,A040_T4,0.15273809523809528,105
A041,T1,A041_T1,0.10811904761904761,105
A041,T2,A041_T2,0.18276190476190474,105
A041,T3,A041_T3,0.1577142857142857,105
A041,T4,A041_T4,0.17085714285714285,105
A042,T1,A042_T1,0.11016666666666668,105
A042,T2,A042_T2,0.1461666666666667,105
A042,T3,A042_T3,0.15342857142857147,105
A042,T4,A042_T4,0.16785714285714284,105
A043,T1,A043_T1,0.16642857142857145,105
A043,T2,A043_T2,0.19295238095238093,105
A043,T3,A043_T3,0.14764285714285716,105
A043,T4,A043_T4,0.2040714285714286,105
A044,T1,A044_T1,0.13921428571428573,105
A044,T2,A044_T2,0.14592857142857144,105
A044,T3,A044_T3,0.1497619047619048,105
A044,T4,A044_T4,0.18342857142857147,105
A045,T1,A045_T1,0.15080952380952384,105
A045,T2,A045_T2,0.18061904761904762,105
A045,T3,A045_T3,0.24702380952380953,105
A045,T4,A045_T4,0.1520476190476191,105
A046,T1,A046_T1,0.2033095238095238,105
A046,T2,A046_T2,0.23114285714285715,105
A046,T3,A046_T3,0.2303571428571429,105
A046,T4,A046_T4,0.20780952380952383,105
A047,T1,A047_T1,0.17709523809523808,105
A047,T2,A047_T2,0.19907142857142857,105
A047,T3,A047_T3,0.21380952380952384,105
A047,T4,A047_T4,0.18873809523809526,105
A048,T1,A048_T1,0.09540476190476191,105
A048,T2,A048_T2,0.2025952380952381,105
A048,T3,A048_T3,0.14642857142857144,105
A048,T4,A048_T4,0.1974761904761905,105
A049,T1,A049_T1,0.08742857142857142,105
A049,T2,A049_T2,0.1060714285714286,105
A049,T3,A049_T3,0.15980952380952382,105
A049,T4,A049_T4,0.193,105
A050,T1,A050_T1,0.22302380952380954,105
A050,T2,A050_T2,0.23566666666666666,105
A050,T3,A050_T3,0.18859523809523812,105
A050,T4,A050_T4,0.24080952380952383,105
A051,T1,A051_T1,0.11057142857142857,105
A051,T2,A051_T2,0.19990476190476186,105
A051,T3,A051_T3,0.18871428571428572,105
A051,T4,A051_T4,0.16742857142857145,105
A052,T1,A052_T1,0.11145238095238096,105
A052,T2,A052_T2,0.1387857142857143,105
A052,T3,A052_T3,0.14964285714285716,105
A052,T4,A052_T4,0.12773809523809526,105
A053,T1,A053_T1,0.10133333333333334,105
A053,T2,A053_T2,0.19871428571428573,105
A053,T3,A053_T3,0.16490476190476192,105
A053,T4,A053_T4,0.19428571428571428,105
A054,T1,A054_T1,0.15671428571428572,105
A054,T2,A054_T2,0.11621428571428571,105
A054,T3,A054_T3,0.12885714285714286,105
A054,T4,A054_T4,0.12066666666666669,105
A055,T1,A055_T1,0.09985714285714288,105
A055,T2,A055_T2,0.18950000000000003,105
A055,T3,A055_T3,0.15864285714285717,105
A055,T4,A055_T4,0.10171428571428573,105
A056,T1,A056_T1,0.14554761904761906,105
A056,T2,A056_T2,0.10878571428571428,105
A056,T3,A056_T3,0.1805,105
A056,T4,A056_T4,0.14483333333333337,105
A057,T1,A057_T1,0.11259523809523811,105
A057,T2,A057_T2,0.17200000000000001,105
A057,T3,A057_T3,0.11630952380952383,105
A057,T4,A057_T4,0.1922619047619048,105
A058,T1,A058_T1,0.14166666666666666,105
A058,T2,A058_T2,0.19942857142857143,105
A058,T3,A058_T3,0.1739761904761905,105
A058,T4,A058_T4,0.14871428571428574,105
A059,T1,A059_T1,0.13766666666666666,105
A059,T2,A059_T2,0.205952380952381,105
A059,T3,A059_T3,0.14457142857142857,105
A059,T4,A059_T4,0.14169047619047623,105
A060,T1,A060_T1,0.15202380952380953,105
A060,T2,A060_T2,0.11400000000000002,105
A060,T3,A060_T3,0.23792857142857143,105
A060,T4,A060_T4,0.21761904761904763,105
A061,T1,A061_T1,0.05345238095238096,105
A061,T2,A061_T2,0.17347619047619048,105
A061,T3,A061_T3,0.16476190476190478,105
A061,T4,A061_T4,0.22688095238095235,105
A062,T1,A062_T1,0.11514285714285714,105
A062,T2,A062_T2,0.18895238095238095,105
A062,T3,A062_T3,0.1425714285714286,105
A062,T4,A062_T4,0.17721428571428577,105
A063,T1,A063_T1,0.12204761904761904,105
A063,T2,A063_T2,0.17371428571428574,105
A063,T3,A063_T3,0.18483333333333332,105
A063,T4,A063_T4,0.21173809523809525,105
A064,T1,A064_T1,0.1848571428571429,105
A064,T2,A064_T2,0.15628571428571428,105
A064,T3,A064_T3,0.18271428571428575,105
A064,T4,A064_T4,0.16792857142857145,105
A065,T1,A065_T1,0.2285714285714286,105
A065,T2,A065_T2,0.21600000000000003,105
A065,T3,A065_T3,0.20864285714285716,105
A065,T4,A065_T4,0.1946666666666667,105
A066,T1,A066_T1,0.1501904761904762,105
A066,T2,A066_T2,0.11959523809523812,105
A066,T3,A066_T3,0.16566666666666666,105
A066,T4,A066_T4,0.16902380952380955,105
A067,T1,A067_T1,0.13004761904761905,105
A067,T2,A067_T2,0.1838095238095238,105
A067,T3,A067_T3,0.18702380952380956,105
A067,T4,A067_T4,0.18604761904761907,105
A068,T1,A068_T1,0.1162857142857143,105
A068,T2,A068_T2,0.1767142857142857,105
A068,T3,A068_T3,0.14004761904761906,105
A068,T4,A068_T4,0.16895238095238094,105
A069,T1,A069_T1,0.21085714285714285,105
A069,T2,A069_T2,0.19930952380952383,105
A069,T3,A069_T3,0.23007142857142862,105
A069,T4,A069_T4,0.2287857142857143,105
A070,T1,A070_T1,0.19692857142857145,105
A070,T2,A070_T2,0.1467142857142857,105
A070,T3,A070_T3,0.22607142857142862,105
A070,T4,A070_T4,0.2257857142857143,105
A071,T1,A071_T1,0.14685714285714288,105
A071,T2,A071_T2,0.15628571428571428,105
A071,T3,A071_T3,0.16654761904761908,105
A071,T4,A071_T4,0.1345952380952381,105
A072,T1,A072_T1,0.1443809523809524,105
A072,T2,A072_T2,0.2118809523809524,105
A072,T3,A072_T3,0.18664285714285714,105
A072,T4,A072_T4,0.19542857142857142,105
A073,T1,A073_T1,0.0916904761904762,105
A073,T2,A073_T2,0.20883333333333334,105
A073,T3,A073_T3,0.14735714285714285,105
A073,T4,A073_T4,0.19052380952380954,105
A074,T1,A074_T1,0.1519047619047619,105
A074,T2,A074_T2,0.17621428571428577,105
A074,T3,A074_T3,0.17611904761904762,105
A074,T4,A074_T4,0.17733333333333334,105
A075,T1,A075_T1,0.133952380952381,105
A075,T2,A075_T2,0.1652857142857143,105
A075,T3,A075_T3,0.20619047619047626,105
A075,T4,A075_T4,0.1726904761904762,105
A076,T1,A076_T1,0.18535714285714291,105
A076,T2,A076_T2,0.18085714285714288,105
A076,T3,A076_T3,0.19000000000000003,105
A076,T4,A076_T4,0.178952380952381,105
A077,T1,A077_T1,0.13983333333333334,105
A077,T2,A077_T2,0.13954761904761906,105
A077,T3,A077_T3,0.1476904761904762,105
A077,T4,A077_T4,0.1295952380952381,105
A078,T1,A078_T1,0.16254761904761905,105
A078,T2,A078_T2,0.21300000000000002,105
A078,T3,A078_T3,0.20266666666666672,105
A078,T4,A078_T4,0.19545238095238096,105
A079,T1,A079_T1,0.1844047619047619,105
A079,T2,A079_T2,0.19121428571428573,105
A079,T3,A079_T3,0.21380952380952384,105
A079,T4,A079_T4,0.17114285714285715,105
A080,T1,A080_T1,0.13833333333333336,105
A080,T2,A080_T2,0.1559047619047619,105
A080,T3,A080_T3,0.16492857142857142,105
A080,T4,A080_T4,0.16973809523809524,105
A081,T1,A081_T1,0.1655714285714286,105
A081,T2,A081_T2,0.1355,105
A081,T3,A081_T3,0.15135714285714288,105
A081,T4,A081_T4,0.15476190476190477,105
A082,T1,A082_T1,0.15050000000000002,105
A082,T2,A082_T2,0.1285,105
A082,T3,A082_T3,0.11800000000000001,105
A082,T4,A082_T4,0.1614761904761905,105
A083,T1,A083_T1,0.10711904761904763,105
A083,T2,A083_T2,0.1375952380952381,105
A083,T3,A083_T3,0.17049999999999998,105
A083,T4,A083_T4,0.18438095238095237,105
A084,T1,A084_T1,0.18057142857142858,105
A084,T2,A084_T2,0.22519047619047622,105
A084,T3,A084_T3,0.1868571428571429,105
A084,T4,A084_T4,0.20516666666666675,105
A085,T1,A085_T1,0.19773809523809524,105
A085,T2,A085_T2,0.16333333333333336,105
A085,T3,A085_T3,0.1498095238095238,105
A085,T4,A085_T4,0.26376190476190475,105
A086,T1,A086_T1,0.0767857142857143,105
A086,T2,A086_T2,0.19552380952380954,105
A086,T3,A086_T3,0.19950000000000004,105
A086,T4,A086_T4,0.16026190476190477,105
A087,T1,A087_T1,0.08576190476190478,105
A087,T2,A087_T2,0.17392857142857143,105
A087,T3,A087_T3,0.16942857142857146,105
A087,T4,A087_T4,0.10778571428571429,105
A088,T1,A088_T1,0.12933333333333336,105
A088,T2,A088_T2,0.09497619047619048,105
A088,T3,A088_T3,0.1085,105
A088,T4,A088_T4,0.13142857142857142,105
A089,T1,A089_T1,0.08807142857142858,105
A089,T2,A089_T2,0.11416666666666665,105
A089,T3,A089_T3,0.1327857142857143,105
A089,T4,A089_T4,0.11866666666666667,105
A090,T1,A090_T1,0.18100000000000002,105
A090,T2,A090_T2,0.1666904761904762,105
A090,T3,A090_T3,0.2034761904761905,105
A090,T4,A090_T4,0.1814761904761905,105
A091,T1,A091_T1,0.17488095238095236,105
A091,T2,A091_T2,0.17204761904761906,105
A091,T3,A091_T3,0.15721428571428572,105
A091,T4,A091_T4,0.17421428571428568,105
A092,T1,A092_T1,0.1559047619047619,105
A092,T2,A092_T2,0.15285714285714286,105
A092,T3,A092_T3,0.2152619047619048,105
A092,T4,A092_T4,0.2067857142857143,105
A093,T1,A093_T1,0.1878095238095238,105
A093,T2,A093_T2,0.18866666666666668,105
A093,T3,A093_T3,0.14752380952380953,105
A093,T4,A093_T4,0.17833333333333334,105
A094,T1,A094_T1,0.1573809523809524,105
A094,T2,A094_T2,0.18695238095238095,105
A094,T3,A094_T3,0.175,105
A094,T4,A094_T4,0.1621904761904762,105
A095,T1,A095_T1,0.11557142857142857,105
A095,T2,A095_T2,0.17147619047619048,105
A095,T3,A095_T3,0.18385714285714289,105
A095,T4,A095_T4,0.1898571428571429,105
A096,T1,A096_T1,0.21571428571428575,105
A096,T2,A096_T2,0.2573809523809524,105
A096,T3,A096_T3,0.3540952380952381,105
A096,T4,A096_T4,0.3012142857142857,105
A097,T1,A097_T1,0.1571190476190476,105
A097,T2,A097_T2,0.21152380952380953,105
A097,T3,A097_T3,0.1770952380952381,105
A097,T4,A097_T4,0.1995,105
A098,T1,A098_T1,0.1321904761904762,105
A098,T2,A098_T2,0.19954761904761906,105
A098,T3,A098_T3,0.1333095238095238,105
A098,T4,A098_T4,0.1560952380952381,105
A099,T1,A099_T1,0.13183333333333333,105
A099,T2,A099_T2,0.13361904761904764,105
A099,T3,A099_T3,0.18957142857142859,105
A099,T4,A099_T4,0.1364047619047619,105
A100,T1,A100_T1,0.27430952380952384,105
A100,T2,A100_T2,0.16352380952380957,105
A100,T3,A100_T3,0.21469047619047624,105
A100,T4,A100_T4,0.19478571428571428,105
A101,T1,A101_T1,0.19335714285714292,105
A101,T2,A101_T2,0.19907142857142857,105
A101,T3,A101_T3,0.1762619047619048,105
A101,T4,A101_T4,0.2419761904761905,105
A102,T1,A102_T1,0.15823809523809523,105
A102,T2,A102_T2,0.08897619047619049,105
A102,T3,A102_T3,0.16390476190476191,105
A102,T4,A102_T4,0.1518095238095238,105
A103,T1,A103_T1,0.3238095238095239,105
A103,T2,A103_T2,0.2722380952380953,105
A103,T3,A103_T3,0.23404761904761912,105
A103,T4,A103_T4,0.26071428571428573,105
A104,T1,A104_T1,0.1483809523809524,105
A104,T2,A104_T2,0.2177857142857143,105
A104,T3,A104_T3,0.19778571428571431,105
A104,T4,A104_T4,0.18109523809523814,105
A105,T1,A105_T1,0.21095238095238095,105
A105,T2,A105_T2,0.20764285714285716,105
A105,T3,A105_T3,0.1432857142857143,105
A105,T4,A105_T4,0.1556904761904762,105
A106,T1,A106_T1,0.08866666666666667,105
A106,T2,A106_T2,0.17652380952380953,105
A106,T3,A106_T3,0.11257142857142857,105
A106,T4,A106_T4,0.11061904761904762,105
A107,T1,A107_T1,0.2137857142857143,105
A107,T2,A107_T2,0.1927142857142857,105
A107,T3,A107_T3,0.2000714285714286,105
A107,T4,A107_T4,0.20338095238095238,105
A108,T1,A108_T1,0.1824047619047619,105
A108,T2,A108_T2,0.21309523809523812,105
A108,T3,A108_T3,0.1951904761904762,105
A108,T4,A108_T4,0.21435714285714288,105
A109,T1,A109_T1,0.21454761904761904,105
A109,T2,A109_T2,0.20302380952380952,105
A109,T3,A109_T3,0.19447619047619047,105
A109,T4,A109_T4,0.2420238095238095,105
