Number	Type	Subtype	Old	Audited	Title	Hypothesis	Data_Required	Analysis_Specification	Expected_Output	Success_Criteria
5.2.5	Domains	Purified CTT Effects	5.12	No	If we compute CTT scores using only IRT-retained items (post-purification), do conclusions differ from full-item CTT?	Purified CTT will show higher correlation with IRT theta (delta_r ~ +0.02) compared to full CTT, demonstrating item purification removes measurement noise. Secondary: Purified CTT yields better LMM fit (lower AIC).	DERIVED from RQ 5.2.1: results/ch5/5.2.1/data/step02_purified_items.csv, results/ch5/5.2.1/data/step03_theta_scores.csv, results/ch5/5.2.1/data/step00_tsvr_mapping.csv. Raw data: data/cache/dfData.csv. Sample: N=100 x 4 tests = 400 observations. Items: Full CTT ~50, Purified CTT ~38.	(0) Load RQ 5.2.1 outputs, verify dependency. (1) Map retained vs removed items. (2) Compute Full CTT (all items). (3) Compute Purified CTT (retained only). (4) Cronbach's alpha with bootstrap CIs. (5) Correlation analysis with Steiger's z-test, Bonferroni for 3 domains. Report dual p-values (Decision D068). (6) Z-standardize all measurements. (7) Fit parallel LMMs on z-standardized; compare AIC per Burnham & Anderson. (8) Prepare correlation and AIC comparison data.	data/step01_item_mapping.csv (~50 rows); data/step02_ctt_full_scores.csv (400 rows); data/step03_ctt_purified_scores.csv (400 rows); data/step04_reliability_assessment.csv (3 rows); data/step05_correlation_analysis.csv (3 rows); data/step07_lmm_model_comparison.csv (3 rows); plots/step08_correlation_comparison_data.csv; plots/step08_aic_comparison_data.csv	Data loading verified. Item mapping: 48-52 total, 36-40 retained. CTT scores in [0,1]. Correlations with dual p-values. Z-standardization correct. All 3 LMMs converge. Plot data: 6 rows correlation, 3 rows AIC.
5.2.6	Domains	Domain-Specific Variance Decomposition	TODO	No	What proportion of variance in forgetting rate is between-person vs within-person for each domain (What, Where, When)?	Substantial between-person variance (ICC for slopes > 0.40) exists within each domain, with potential domain differences in ICC magnitude reflecting differential trait-like stability of forgetting.	DERIVED from RQ 5.2.1: best-fitting LMM model with random slopes by domain. Theta scores from results/ch5/5.2.1/data/step04_lmm_input.csv. Sample: N=100 participants, 1200 observations (3 domains). No new IRT calibration required.	(1) Fit domain-stratified LMMs with random slopes: theta ~ Time + (Time | UID) separately for What, Where, When. (2) Extract variance components per domain: var_intercept, var_slope, cov_int_slope, var_residual. (3) Compute ICC estimates per domain: ICC_intercept, ICC_slope_simple, ICC_slope_conditional at Day 6. (4) Extract individual random effects per domain for 100 participants. (5) Test intercept-slope correlations per domain with Bonferroni alpha=0.0033. (6) Compare ICC across domains.	data/step01_model_metadata_what.yaml; data/step01_model_metadata_where.yaml; data/step01_model_metadata_when.yaml; data/step02_variance_components.csv (15 rows: 5 components x 3 domains); data/step03_icc_estimates.csv (9 rows: 3 ICC x 3 domains); data/step04_random_effects.csv (300 rows: 100 UID x 3 domains); data/step05_domain_icc_comparison.csv; plots/step06_domain_icc_barplot.png	All 3 domain models converge. Variance components positive. ICC in [0,1]. 300 random effects extracted. Dual p-values for correlations. Domain comparison interpretable.
5.2.7	Domains	Domain-Based Clustering	TODO	No	Can participants be grouped into latent classes based on domain-specific forgetting trajectories (What/Where/When intercepts and slopes)?	Exploratory. Expected 2-4 profiles based on 6 clustering variables (intercept + slope for each domain). Profiles may show domain-selective impairment (e.g., poor spatial memory only).	DERIVED from RQ 5.2.6: random effects per domain (Total_Intercept_What/Where/When, Total_Slope_What/Where/When). Sample: N=100 participants, 6 clustering variables.	(1) Load random effects from RQ 5.2.6 (6 variables per UID). (2) Standardize to z-scores. (3) Test K=1 to K=6 using K-means; compute inertia and BIC. (4) Fit final K-means with optimal K. (5) Characterize clusters by domain-specific patterns. (6) Scatter plot matrix colored by cluster.	data/step00_random_effects_from_rq526.csv; data/step01_standardized_features.csv (100 x 6); results/step02_cluster_selection.csv; results/step03_optimal_k.txt; data/step04_cluster_assignments.csv; results/step04_cluster_centers.csv; results/step05_cluster_characterization.txt; plots/step06_cluster_scatter_matrix.png	Random effects loaded (100 x 6). Standardization correct. BIC minimum identified. Cluster sizes >= 10%. Domain-specific interpretations. Plot shows separation.
5.2.8	Domains	Domain × Item Difficulty Interaction	TODO	No	Do easier items show faster forgetting than harder items, and does this differ by domain?	Exploratory. Tests if item difficulty x time interaction differs across What/Where/When domains. Domain-specific difficulty effects may reflect different forgetting mechanisms.	Item parameters from RQ 5.2.1. Raw response data. TSVR mapping. Structure: Item-level responses with domain grouping. Crossed random effects (UID x Item).	(1) Load item parameters and raw responses. (2) Merge item difficulty and domain. (3) Center Difficulty_c. (4) Fit: Response ~ Time x Difficulty_c x domain + (Time | UID) + (1 | Item). (5) Extract Time x Difficulty_c x domain interactions; Bonferroni alpha=0.0033. (6) Plot easy vs hard trajectories per domain.	data/step00_item_difficulty_by_domain.csv; data/step01_response_level_data.csv; results/step03_lmm_model_summary.txt; results/step03_difficulty_domain_interaction.csv; plots/step04_difficulty_trajectories_by_domain.png	Model converged. Domain-stratified interactions extracted. Interpretation clear. Plot shows 6 lines (2 difficulty x 3 domains).
5.3.1	Paradigms	Paradigm-Specific Trajectories	5.3	No	Do Free Recall, Cued Recall, and Recognition paradigms exhibit different forgetting rates over 6 days?	Free Recall shows steepest forgetting (requires self-initiated retrieval), followed by Cued Recall, with Recognition showing most shallow decline. Expected: significant Paradigm x Time interaction.	Source: RQ 5.2.1 data filtered to paradigm items. Paradigms: IFR (Item Free Recall), ICR (Item Cued Recall), IRE (Item Recognition). Exclude RFR, TCR. Sample: N=100 x 4 tests x 3 paradigms = 1200 observations. Time: TSVR_hours.	(0) Filter to IFR/ICR/IRE items, create paradigm Q-matrix. (1) IRT Pass 1: 3-factor GRM. (2) Purify (Decision D039). (3) IRT Pass 2. (4) Merge theta with TSVR, reshape to long (paradigm factor). (5) Fit 5 LMMs with Paradigm x Time; select best via AIC. (6) Post-hoc contrasts: Cued-Free, Recognition-Free, Bonferroni alpha=0.0167. Report dual p-values (Decision D068). (7) Prepare trajectory data.	data/step03_theta_scores.csv; results/step05_model_comparison.csv; results/step05_lmm_model_summary.txt; data/step05_fixed_effects.csv; results/step06_post_hoc_contrasts.csv; results/step06_effect_sizes.csv; plots/step07_trajectory_theta_data.csv; plots/step07_trajectory_probability_data.csv	IRT convergence. 40-80 items retained. LMM best model converged. 1200 observations. Post-hoc dual p-values. Plot: 12 rows, probability in [0,1].
5.3.2	Paradigms	Retrieval Support Gradient Test	5.4	No	Does forgetting rate decrease monotonically from Free Recall -> Cued Recall -> Recognition?	Forgetting rate follows ordered trend: Free > Cued > Recognition. Linear trend contrast significant at Bonferroni alpha=0.0033, positive coefficient indicating forgetting decreases with retrieval support.	DERIVED from RQ 5.3.1: results/ch5/5.3.1/data/step05_lmm_fitted_model.pkl (Log model), results/ch5/5.3.1/data/step04_lmm_input.csv. Sample: 1200 observations (100 x 4 x 3 paradigms).	(0) Load RQ 5.3.1 LMM model, verify Log model and paradigm categories. (1) Extract marginal means at Day 3 midpoint. (2) Compute linear trend contrast: weights [-1, 0, +1] for Free/Cued/Recognition. Report dual p-values (Decision D068). Bonferroni alpha=0.0033. (3) Prepare plot data with fitted trend line.	data/step00_model_loaded.txt; data/step01_marginal_means.csv (3 rows); results/step02_linear_trend_contrast.csv (1 row); results/step02_contrast_interpretation.txt; plots/step03_paradigm_forgetting_rates_data.csv (3 rows); plots/step03_contrast_annotation.txt	Model loaded, Log model confirmed. 3 marginal means in [-3,3]. Linear trend contrast with dual p-values. Plot data: 3 rows, CI_lower < CI_upper.
5.3.3	Paradigms	Paradigm Consolidation Window	TODO	No	Do retrieval paradigms (Free/Cued/Recognition) show different consolidation benefits during Day 0->1 versus later decay?	Sleep-dependent consolidation (Day 0->1) may differentially benefit paradigms. Free Recall may show greatest early consolidation effect due to deeper encoding requirements.	DERIVED from RQ 5.3.1: results/ch5/5.3.1/data/step04_lmm_input.csv (theta by paradigm), item parameters. Sample: N=100, 1200 observations. Segments: Early (tests 0-1), Late (tests 3-6).	(0) Load RQ 5.3.1 theta, create Segment and Days_within. (1) Fit piecewise LMM: theta ~ Days_within x Segment x paradigm + (1 + Days_within | UID). (2) Extract 6 segment-paradigm slopes. (3) Compute 6 planned contrasts with Bonferroni alpha=0.0083. Report dual p-values (Decision D068). (4) Consolidation benefit index per paradigm. (5) Prepare piecewise plot data.	data/step00_piecewise_lmm_input.csv; data/step01_piecewise_lmm_model.pkl; results/step02_segment_paradigm_slopes.csv (6 rows); results/step03_planned_contrasts.csv; results/step04_consolidation_benefit.csv (3 rows); plots/step05_piecewise_theta_data.csv; plots/step05_piecewise_probability_data.csv	Model converged. 6 slopes with valid SE/CI. 6 contrasts with dual p-values. Plot data: 12 rows.
5.3.4	Paradigms	Age × Paradigm Interactions	TODO	No	Does the effect of age on forgetting rate vary by retrieval paradigm?	Age x Time effects may be strongest for Free Recall (most demanding) and weakest for Recognition (familiarity-based). 3-way Age x Paradigm x Time interaction significant at Bonferroni alpha=0.025.	DERIVED from RQ 5.3.1: theta scores (1200 rows), TSVR mapping. Age from data/cache/dfData.csv. Sample: N=100, 1200 observations. Transformations: Age_c, log_TSVR.	(0) Load RQ 5.3.1 theta + Age. (1) Merge, center Age, create log_TSVR. (2) Fit LMM with 3-way Age x paradigm x Time interactions + (TSVR_hours | UID). (3) Extract 4 three-way terms, Bonferroni alpha=0.025. (4) Paradigm-specific age effects at Day 3 with Tukey HSD. Report dual p-values (Decision D068). (5) Plot by age tertiles.	data/step01_lmm_input.csv (1200 rows); data/step02_lmm_model.pkl; data/step03_interaction_terms.csv (4 rows); data/step04_age_effects_by_paradigm.csv (3 rows); plots/step05_age_effects_plot_data.csv	Model converged. 4 three-way terms present. Dual p-values. 3 paradigms with age effects. Plot data complete.
5.3.5	Paradigms	IRT-CTT Convergence	TODO	No	Do IRT theta scores and CTT mean scores yield the same conclusions about paradigm-specific forgetting trajectories?	IRT and CTT should converge (r > 0.70; Cohen's kappa > 0.60), demonstrating robustness of paradigm findings to measurement approach.	IRT theta from RQ 5.3.1. TSVR and purified items from RQ 5.3.1. Raw data: data/cache/dfData.csv. Sample: N=100 x 4 tests x 3 paradigms = 1200 observations.	(0) Load IRT theta, TSVR, purified items from RQ 5.3.1. (1) Compute CTT mean scores per UID x test x paradigm. (2) Pearson correlations per paradigm with Holm-Bonferroni. Report dual p-values (Decision D068). (3) Fit parallel LMMs. (4) Validate assumptions. (5) Compare fixed effects: Cohen's kappa > 0.60. (6) Compare AIC/BIC. (7-8) Prepare scatterplot and trajectory data.	results/step02_correlations.csv (4 rows); results/step03_irt_lmm_summary.txt; results/step03_ctt_lmm_summary.txt; results/step05_coefficient_comparison.csv; results/step05_agreement_metrics.csv; plots/step07_scatterplot_data.csv; plots/step08_trajectory_data.csv	All correlations r > 0.70. Cohen's kappa > 0.60. Agreement >= 80%. Both models converge. Dual p-values present.
5.3.6	Paradigms	Purified CTT Effects	TODO	No	If we compute CTT scores using only IRT-retained items (post-purification), do conclusions differ from full-item CTT for paradigms?	Purified CTT will show higher correlation with IRT theta compared to full CTT for paradigms, demonstrating item purification removes measurement noise.	DERIVED from RQ 5.3.1: purified items, theta scores, TSVR mapping. Raw data: data/cache/dfData.csv. Sample: N=100 x 4 tests = 400 observations.	(0) Load RQ 5.3.1 outputs. (1) Map retained vs removed items by paradigm. (2) Compute Full CTT. (3) Compute Purified CTT. (4) Cronbach's alpha with bootstrap CIs. (5) Correlation analysis with Steiger's z-test. Report dual p-values (Decision D068). (6) Z-standardize. (7) Fit parallel LMMs; compare AIC. (8) Prepare comparison data.	data/step01_item_mapping.csv; data/step02_ctt_full_scores.csv; data/step03_ctt_purified_scores.csv; data/step04_reliability_assessment.csv; data/step05_correlation_analysis.csv; data/step07_lmm_model_comparison.csv; plots/step08_correlation_comparison_data.csv	Item mapping correct. CTT scores in [0,1]. Correlations with dual p-values. All LMMs converge.
