Number	Type	Subtype	Notes	concept	scholar	stats	plan	tools	analysis	code	inspect	plots	results	validate	Anomalies_Limitations	Risk_Rating	Risk_Explanation
6.3.1	Domain Confidence	Trajectories	ROOT - COMPLETE. Kitchen sink. MED. PASS WITH NOTES (H1: Ch5 comparison deferred).	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	H1: Ch5 5.2.1 comparison DEFERRED (quantitative divergence not computed). M1: GRM-2PL transformation mismatch (When domain probability anomaly). M2: D069 conditional applicability for confidence data. Random slopes simplified to intercept-only.	MODERATE	Ch5 comparison missing reduces thesis integration. GRM-2PL mismatch affects probability interpretation. Random slopes simplification loses individual difference info on decline rates.
6.3.2	Domain Confidence	Calibration	MAJOR FINDING: Crossover interaction (chi2=59.60, p<0.0001). When=opposite trajectory. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Residual diagnostics missing (no QQ-plot). Post-hoc contrasts all non-sig despite significant main effect (crossover cancellation expected).	LOW	Effect EXTREMELY significant (p<10^-13). Missing diagnostics low risk given large N=1200 and effect magnitude.
6.3.3	Domain Confidence	Age x Domain	NULL 3-way interaction (p>0.26). Age-invariant across domains. Parallels Ch5 5.2.3. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Functional form selection (linear TSVR_hours vs log_TSVR). Decision D070 not documented. Random slope variance minimal (confirms homogeneity).	LOW	NULL finding robust (effect size 10^-5). Functional form choice unlikely to change near-zero effects. Decision D070 needs documentation.
6.3.4	Domain Confidence	ICC by Domain	MAJOR FINDING: Domain dissociation. What/Where ICC_slope=0.59 (trait), When=0.00 (universal). 54-73x > Ch5. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: What/Where LMMs show Converged=False (non-positive definite Hessian). M2: ICC_slope_conditional=1.0 at Day 6 (mathematical artifact from t^2 term). L1: Bootstrap CIs missing for ICC estimates.	MODERATE	Convergence warnings may mean ICC estimates are LOWER BOUNDS. ICC_slope_simple=0.59 used for interpretation (not conditional). Domain dissociation pattern robust despite technical issues.
6.4.1	Paradigm Confidence	Trajectories	ROOT - COMPLETE. Kitchen sink. MED. PASS WITH NOTES (M5: 100% retention).	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M5: 100% item retention unusual (72/72 items passed purification). Linear model wins kitchen sink (not log - unusual for forgetting). ICR shows LOWEST baseline confidence (contrary to hypothesis).	LOW	100% retention reflects good confidence item psychometrics. Linear model winning is substantive finding. ICR pattern is unexpected but valid data.
6.4.2	Paradigm Confidence	Calibration	Paradigm main effect SIG (p=0.040). IFR best calibrated, IRE worst. Small d<0.11. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Residual diagnostics missing. M2: Post-hoc power analysis missing (cannot distinguish true null vs underpowered). M3: Lord's paradox sensitivity checks NOT implemented (ANCOVA, difference score reliability).	MODERATE	Small effect sizes (d<0.11) could be model misspecification. Lord's paradox checks critical for paradigm comparisons. Recommend ANCOVA sensitivity analysis before publication.
6.4.3	Paradigm Confidence	Age x Paradigm	NULL 3-way (p=0.994). Age-invariant paradigm effects. Parallels Ch5. f2=0.000004 negligible. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Ch5 5.3.4 comparison incomplete (accuracy RQ pending). Age main effect marginal (p=0.039 uncorrected, p=0.116 Bonferroni).	LOW	NULL finding extremely robust (f2=0.000004). Ch5 5.3.4 pending but expected NULL based on Ch5 pattern. Age effect below Bonferroni threshold.
6.4.4	Paradigm Confidence	ICC by Paradigm	HYPO REFUTED: ICR highest ICC_slope (0.055), not IFR. All <0.10 (state-like). Ch5 +0.034 diff. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	M1: No plots generated (rq_plots bypassed). No formal hypothesis test for ICC differences (descriptive only). ICR supremacy unexplained. Max ICC difference 0.016 may be sampling variability.	LOW	Plots bypassed intentionally (variance decomposition is tabular). ICC differences small (1.6% variance) - exploratory not confirmatory. Hypothesis refutation is valid finding.
6.5.1	Schema Confidence	Trajectories	ROOT - COMPLETE. Kitchen sink. MED. PASS (2 moderate: retention, floor).	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: 100% item retention (all 72 passed). M2: Day 6 floor effect (2-3% probability). L1: Random slopes not modeled (intercept only).	MODERATE	Floor effect limits Day 6 measurement utility. Missing random slopes loses individual difference information on decline rates. Consider sensitivity analysis with random slopes.
6.5.2	Schema Confidence	Calibration	NULL schema effect on calibration (p_bonf=0.487). Direction correct (beta=+0.15), underpowered (f2=0.05). THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	M1: Bootstrap p-values NOT implemented (D068 partial compliance). rq_inspect bypassed. All effects NULL so bootstrap method unlikely to change conclusions.	LOW	NULL finding not sensitive to p-value method. Large sample (N=100, 1200 obs) reduces normality concerns. D068 partial compliance documented.
6.5.3	Schema Confidence	High-Confidence Errors	NULL HCE schema effect (p_bonf=0.130). Incong 5.6% vs Common 4.1% (trend only). Quadruple NULL. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	M1: Linear Probability Model used instead of logistic GLMM (statsmodels limitation). Predicted probabilities not constrained to [0,1]. T2 spike for Incongruent items (Day 1) unexplained. Item random effects removed for convergence.	MODERATE	LPM has known issues (heteroscedasticity, unconstrained predictions). p_bonf=0.130 not close to boundary so robust to method. T2 spike is exploratory finding needing replication.
6.6.1	HCE	Over Time	ROOT - HCE DECREASES 35% (4.87%->3.17%). Hypothesis REJECTED. Dual p<.001 (D068 FULL). Sensitivity: 4 models robust. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	RESOLVED: ML convergence failure fixed (TSVR vs Days mismatch). RESOLVED: Confidence scale documentation corrected (0.2-1.0 not 0-1.0). Boundary warning present (random slope variance near 0). Two-phase trajectory pattern (stable Day 0-1, decline Day 1-6).	LOW	All critical issues RESOLVED. Boundary warning acceptable (fixed effects robust). HCE DECREASE is major finding - opposite of hypothesis but validated by 4 sensitivity models.
6.6.2	HCE	Profiles	Dunning-Kruger NOT SUPPORTED (beta~0). Confidence_bias+baseline_conf predict HCE (p<.001). Age NULL. R2=0.21. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	M1: Baseline confidence POSITIVE effect (unexpected - high confidence predicts MORE HCEs). Residuals non-normal (Shapiro p<.001). 95% CIs not explicitly reported (reconstructable from SE).	MODERATE	Positive baseline confidence effect requires theoretical reframing (overconfidence at encoding). Residual non-normality acceptable given conservative Bonferroni. Recommend correlation analysis baseline_conf x baseline_acc.
6.6.3	HCE	Domain Specificity	ROOT - HYPO REFUTED: Where>When>What (not When>Where). Domain p<.001, Domain x Time p<.001. Spatial most vulnerable. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	M1: GLMM vs LMM aggregation (N=1200 participant-level instead of N=42000 item-level). Missing diagnostic plots (plots/ empty). Item count discrepancy with RQ 6.6.1 (105 vs 72 items).	MODERATE	Aggregation reduces power 35x but effects still p<.001. Item count discrepancy needs documentation. Missing diagnostic plots should be generated before defense.
6.7.1	Predictive	Day 0 Confidence	ROOT - BULLETPROOF. rho=-0.66 (p<.001). PARTIAL rho=-0.35 (p=0.0004) controlling baseline = UNIQUE PREDICTOR. 12.2% unique variance. Slopes positive (improvement). Full diagnostics. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	CRITICAL: ALL slopes POSITIVE (accuracy IMPROVES, not declines). Construct mismatch - RQ measures improvement prediction not forgetting prediction. Regression to mean confound RESOLVED via partial correlation. Mild heteroscedasticity (Breusch-Pagan p=0.04). 8 influential points identified.	MODERATE	Construct mismatch requires reframing (improvement not forgetting). However, partial correlation CONFIRMS unique predictive value (12.2% unique variance). Spearman used appropriately for non-normal confidence. Sensitivity analyses show robustness.
6.7.2	Predictive	Confidence Variability	ROOT - SUPPRESSION EFFECT. r=-0.01 (null) BUT partial r=0.21 (p=.034) controlling mean_acc. Metacognition tracks variability WITHIN ability bands. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Code interpretation logic error (log says neither significant but p=.034 IS significant). Saved results CORRECT. Suppression effect is METHODOLOGICAL FINDING (publishable). Partial p=0.034 marginal (close to alpha=.05). Binary SD constraint inherent limitation.	LOW	Code logging error does NOT affect saved results. Suppression effect is novel finding. Marginal p-value (0.034) suggests fragile effect - recommend bootstrap CI for robustness.
6.7.3	Predictive	Calibration Predicts	NULL FINDING. r=0.02, p=0.847. Calibration INDEPENDENT of trajectory stability. Metacognition != consolidation. THESIS-READY.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Model averaging NOT used (Ch5 5.1.1 had 16 competitive models). Used single PowerLaw_04 residuals. 95% CI and equivalence testing missing.	LOW	NULL finding robust regardless of model choice (r=0.02 is negligible). Model averaging would not change near-zero correlation. Missing CI/equivalence testing are enhancements, not requirements.
6.8.1	Source-Dest Confidence	Trajectories	ROOT - COMPLETE. Kitchen sink. MED. PASS WITH NOTES (3 moderate).	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Random intercept only (no random slopes). M2: Extreme model uncertainty (best weight 4.2%, 66 models). M3: Confidence-accuracy dissociation (Ch5 found sig interaction, Ch6 NULL p=0.553). 100% item retention. Floor effects by Day 6 (7.9%). No plot PNGs generated.	MODERATE	Random slopes missing loses individual difference info. Model uncertainty high but NULL interaction robust across all top 20 models (p>0.30). Dissociation is theoretically expected (confidence != accuracy).
6.8.2	Source-Dest Confidence	Calibration	DERIVATIVE - COMPLETE. NULL: Equal calibration (p=0.248). PASS WITH NOTES.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Missing residual diagnostic plots. Z-standardization within location may mask absolute differences. Calibration as difference score ignores non-linear confidence-accuracy relationship.	LOW	Large N=800 provides robustness. NULL finding clear (p=0.248). Z-standardization limitation documented. Recommend diagnostic plots before defense.
6.8.3	Source-Dest Confidence	ICC	DERIVATIVE - COMPLETE. NULL: Pattern NOT replicated (both r<0). PASS.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Source REVERSAL mechanism unknown (accuracy r=+0.99, confidence r=-0.24). TSVR_hours used instead of log_TSVR. Random effects are BLUPs (uncertainty not propagated).	MODERATE	Source reversal is theoretical puzzle requiring follow-up. Direction mismatch between accuracy and confidence is major finding but mechanism unexplained. Recommend calibration analysis for Source location.
6.8.4	Source-Dest Confidence	Clustering	DERIVATIVE - COMPLETE. NULL: Silhouette=0.33<0.40. PASS WITH NOTES.	True	True	True	True	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	M1: Time scale mismatch (TSVR_hours vs log_TSVR from parent 6.8.3). Silhouette 0.330 vs Ch5 0.417 (21% reduction). K=5 selected vs Ch5 K=4. Jaccard 0.647 < 0.70 threshold. Chi-square association significant (p<0.0001) despite lower clustering quality.	LOW	NULL finding (clustering below threshold) is conservative. Time scale mismatch documented. Significant chi-square shows confidence-accuracy phenotype association despite weaker clustering.
