Number	Type	Subtype	Old	Audited	Title	Hypothesis	Data_Required	Analysis_Specification	Expected_Output	Success_Criteria
6.3.1	Domain Confidence	Trajectories	NEW	No	Do What/Where/When domains show different confidence decline patterns?	NULL expected: Domain differences were NULL for accuracy in Ch5 5.2.1 (unitized encoding eliminates separation). If confidence parallels accuracy, domain × time interaction should be NULL. Possible exception: When domain (floor effect in accuracy) may show overconfidence (low accuracy but maintained confidence).	Source: data/cache/dfData.csv. Filter TC_* by domain tags: What (*-N-*), Where (*-L-*/*-U-*/*-D-*), When (*-O-*). Sample: N=100 × 4 tests × 3 domains = 1200 observations. Note: When domain may need exclusion due to Ch5 floor effects.	(0) Extract TC_* by domain. (1) IRT Pass 1: 3-factor GRM (What/Where/When). (2) Purify (D039). (3) IRT Pass 2. (4) Merge theta_confidence with TSVR. (5) Fit LMM with Domain × Time. (6) Post-hoc: What vs Where, When vs others. (7) Compare to Ch5 5.2.1. (8) Note When domain status (exclude if <10 items after purification).	data/step03_theta_confidence_domain.csv (1200 rows); results/step05_lmm_summary.txt; results/step06_domain_contrasts.csv; results/step07_ch5_comparison.csv; results/step08_when_domain_status.txt	IRT GRM for 5-category. 1200 observations. Domain × Time tested. Ch5 comparison. When domain status documented.
6.3.2	Domain Confidence	Calibration	NEW	No	Are people better calibrated for some domains than others?	When domain may show BETTER calibration than What/Where despite floor effects: if both accuracy AND confidence are low, calibration = 0 (correctly uncertain). What/Where may show overconfidence (moderate accuracy but high confidence). Domain × calibration interaction.	DERIVED: Accuracy theta by domain from Ch5 5.2.1. Confidence theta by domain from RQ 6.3.1. Sample: 1200 observations.	(0) Load accuracy (Ch5 5.2.1) and confidence (6.3.1) by domain. (1) Merge by UID × test × domain. (2) Compute calibration per domain. (3) Fit LMM: Calibration ~ Domain × Time + (Time | UID). (4) Test Domain effects on calibration. (5) Identify best/worst calibrated domain.	data/step01_calibration_by_domain.csv (1200 rows); results/step02_lmm_summary.txt; results/step03_domain_effects.csv; results/step04_domain_ranking.csv; plots/step05_calibration_by_domain.csv	1200 observations merged. Calibration by domain computed. Domain effects tested.
6.3.3	Domain Confidence	Age × Domain	NEW	No	Does age interact with domain for confidence decline?	NULL expected: Age × Domain × Time 3-way interaction NULL, paralleling Ch5 5.2.3. Age-invariant confidence decline across all domains.	DERIVED from RQ 6.3.1 + Age. Sample: 1200 observations.	(0) Load domain confidence + Age. (1) Fit LMM with Age × Domain × Time 3-way. (2) Test 3-way interactions. (3) Compare to Ch5 5.2.3.	data/step01_lmm_input.csv; results/step02_lmm_summary.txt; data/step03_interaction_terms.csv; results/step04_ch5_comparison.csv	Model converged. 3-way interactions tested. Ch5 comparison documented.
6.3.4	Domain Confidence	ICC by Domain	NEW	No	Is confidence decline more trait-like for some domains?	ICC_slope may differ by domain. If 5-level data reveals slope variance (per 6.1.4), some domains may show higher ICC_slope than others. Compare to Ch5 5.2.6 (all ICC_slope ≈ 0 for accuracy).	DERIVED from RQ 6.3.1. Sample: 1200 observations (3 domains × 400).	(1) Fit domain-stratified LMMs with random slopes. (2) Extract variance components per domain. (3) Compute ICC per domain. (4) Compare ICC_slope across domains. (5) Compare to Ch5 5.2.6.	data/step02_variance_components.csv (15 rows); data/step03_icc_estimates.csv (9 rows); data/step04_random_effects.csv (300 rows); results/step05_domain_icc_comparison.csv; results/step06_ch5_comparison.csv	All 3 domain models converge. ICC computed per domain. Ch5 comparison documented.
6.4.1	Paradigm Confidence	Trajectories	NEW	No	Do Free Recall, Cued Recall, Recognition show different confidence decline?	NULL expected: Paradigm differences were NULL for accuracy slopes in Ch5 5.3.1-5.3.2 (retrieval support affects baseline, not decay). If confidence parallels accuracy, paradigm × time interaction should be NULL. Recognition may show HIGHEST baseline confidence (retrieval support creates illusion of remembering).	Source: data/cache/dfData.csv. Filter TC_* by paradigm tags: IFR, ICR, IRE. Sample: N=100 × 4 tests × 3 paradigms = 1200 observations.	(0) Extract TC_* by paradigm. (1) IRT Pass 1: 3-factor GRM (IFR/ICR/IRE). (2) Purify. (3) IRT Pass 2. (4) Fit LMM with Paradigm × Time. (5) Compare to Ch5 5.3.1. (6) Note if Recognition shows highest baseline confidence.	data/step03_theta_confidence_paradigm.csv; results/step05_lmm_summary.txt; results/step06_paradigm_contrasts.csv; results/step07_ch5_comparison.csv	1200 observations. Paradigm × Time tested. Ch5 comparison documented.
6.4.2	Paradigm Confidence	Calibration	NEW	No	Are people better calibrated with more retrieval support?	Recognition may show OVERCONFIDENCE: high retrieval support creates fluent retrieval that feels like remembering even when accuracy is only moderate. Free Recall may show best calibration (no false fluency from retrieval cues). Test: Paradigm × calibration interaction.	DERIVED: Accuracy from Ch5 5.3.1, Confidence from RQ 6.4.1. Sample: 1200 observations.	(0) Merge accuracy and confidence by paradigm. (1) Compute calibration per paradigm. (2) Fit LMM: Calibration ~ Paradigm × Time. (3) Test if Recognition shows more overconfidence than Free Recall. (4) Rank paradigms by calibration quality.	data/step01_calibration_by_paradigm.csv; results/step02_lmm_summary.txt; results/step03_paradigm_effects.csv; results/step04_recognition_overconfidence_test.csv; plots/step05_calibration_by_paradigm.csv	1200 observations. Calibration by paradigm. Recognition overconfidence hypothesis tested.
6.4.3	Paradigm Confidence	Age × Paradigm	NEW	No	Does age interact with paradigm for confidence decline?	NULL expected: Age × Paradigm × Time 3-way NULL, paralleling Ch5 5.3.4 (no differential aging effects across paradigms).	DERIVED from RQ 6.4.1 + Age. Sample: 1200 observations.	(0) Load paradigm confidence + Age. (1) Fit LMM with Age × Paradigm × Time. (2) Test 3-way interactions. (3) Compare to Ch5 5.3.4.	data/step01_lmm_input.csv; results/step02_lmm_summary.txt; data/step03_interaction_terms.csv; results/step04_ch5_comparison.csv	Model converged. 3-way tested. Ch5 comparison.
6.4.4	Paradigm Confidence	ICC by Paradigm	NEW	No	Is confidence decline more trait-like for some paradigms?	Free Recall may show highest ICC_slope (most variability in challenging task). Compare to Ch5 5.3.7.	DERIVED from RQ 6.4.1. Sample: 1200 observations.	(1) Fit paradigm-stratified LMMs. (2) Extract variance components per paradigm. (3) Compute ICC per paradigm. (4) Compare to Ch5 5.3.7.	data/step02_variance_components.csv; data/step03_icc_estimates.csv; results/step05_paradigm_icc_comparison.csv; results/step06_ch5_comparison.csv	All 3 models converge. ICC compared across paradigms. Ch5 comparison.
6.5.1	Schema Confidence	Trajectories	NEW	No	Do Common/Congruent/Incongruent items show different confidence decline?	NULL expected: Schema effects were NULL for accuracy in Ch5 5.4.1. If confidence parallels, schema × time NULL. However: Congruent items may show HIGHER baseline confidence (schema-consistent feels familiar even if not better remembered).	Source: data/cache/dfData.csv. Filter TC_* by congruence tags: common (*-i1/*-i2), congruent (*-i3/*-i4), incongruent (*-i5/*-i6). Sample: 1200 observations.	(0) Extract TC_* by congruence. (1) IRT Pass 1: 3-factor GRM. (2) Purify. (3) IRT Pass 2. (4) Fit LMM with Congruence × Time. (5) Compare to Ch5 5.4.1.	data/step03_theta_confidence_congruence.csv; results/step05_lmm_summary.txt; results/step06_congruence_contrasts.csv; results/step07_ch5_comparison.csv	1200 observations. Congruence × Time tested. Ch5 comparison.
6.5.2	Schema Confidence	Calibration	NEW	No	Are people better calibrated for congruent items?	Congruent items may show OVERCONFIDENCE: schema-consistent items feel familiar (high confidence) but may not be better remembered (Ch5 5.4.1 NULL). Incongruent items may show better calibration (less false familiarity). Test: Congruence × calibration interaction.	DERIVED: Accuracy from Ch5 5.4.1, Confidence from RQ 6.5.1. Sample: 1200 observations.	(0) Merge accuracy and confidence by congruence. (1) Compute calibration per congruence level. (2) Fit LMM: Calibration ~ Congruence × Time. (3) Test if congruent items show overconfidence.	data/step01_calibration_by_congruence.csv; results/step02_lmm_summary.txt; results/step03_congruence_effects.csv; results/step04_congruent_overconfidence_test.csv	1200 observations. Calibration by congruence. Overconfidence hypothesis tested.
6.5.3	Schema Confidence	High-Confidence Errors	NEW	No	Do schema-incongruent items produce more high-confidence errors?	Incongruent items (schema-violating) may generate more high-confidence WRONG answers due to schema-based intrusions (remembering what "should" be there rather than what was). DRM effect analog. HCE = P(Accuracy=0 | Confidence >= 0.75).	Source: Item-level data from data/cache/dfData.csv. Both TQ_* and TC_*. Sample: ~27,200 item-responses.	(0) Extract item-level TQ_ and TC_. (1) Identify high-confidence errors: Accuracy=0 AND Confidence >= 0.75. (2) Compute HCE rate per congruence level per timepoint. (3) Test Congruence × Time effect on HCE rate. (4) Compare congruent vs incongruent HCE rates.	data/step00_item_level.csv; data/step01_hce_flags.csv; results/step02_hce_rates.csv (12 rows: 3 congruence × 4 tests); results/step03_congruence_hce_test.csv; plots/step04_hce_by_congruence.csv	Item-level data extracted. HCE defined and computed. Congruence effect on HCE tested.
6.6.1	HCE	Over Time	NEW	No	Do high-confidence errors increase from Day 0 to Day 6?	High-confidence errors (HCE: Confidence >= 0.75 AND Accuracy = 0) may INCREASE over time as memories degrade but confidence doesn't fully adjust. Memory distortion + metacognitive failure. Test: significant positive Time effect on HCE rate.	Source: Item-level data from data/cache/dfData.csv. Both TQ_* and TC_*. Sample: ~27,200 item-responses.	(0) Extract item-level TQ_ and TC_. (1) Compute HCE rate per participant per timepoint. (2) Fit LMM: HCE_rate ~ Time + (Time | UID). (3) Test Time effect on HCE rate. (4) Compute mean HCE rate by timepoint.	data/step00_item_level.csv; data/step01_hce_rates.csv (400 rows); results/step02_hce_lmm.txt; results/step03_time_effect.csv; plots/step04_hce_trajectory.csv	HCE rate computed. LMM converged. Time effect tested.
6.6.2	HCE	Profiles	NEW	No	Who makes high-confidence errors? Individual difference predictors of HCE.	Low baseline performers may make more HCEs (poor memory + poor metacognition = Dunning-Kruger). High confidence bias individuals may make more HCEs. Age may NOT predict HCEs (paralleling Ch5 age nulls). Predictors: baseline accuracy, baseline confidence, age, confidence bias.	DERIVED: HCE rates from 6.6.1. Baseline accuracy from Ch5 5.1.1 Day 0. Baseline confidence from 6.1.1 Day 0. Age from dfData.csv. Confidence bias = Mean(confidence) - Mean(accuracy) at Day 0.	(0) Load HCE rates + predictors. (1) Compute individual-level HCE rate (mean across timepoints). (2) Regression: HCE_rate ~ Baseline_accuracy + Baseline_confidence + Age + Confidence_bias. (3) Identify significant predictors. (4) Effect sizes for each predictor.	data/step01_predictor_data.csv (100 rows); results/step02_regression_summary.txt; results/step03_significant_predictors.csv; results/step04_effect_sizes.csv	Regression converged. Predictors tested. Effect sizes computed.
6.6.3	HCE	Domain Specificity	NEW	No	Are high-confidence errors domain-specific (more for What vs Where)?	When domain may show MOST HCEs due to floor effects (low accuracy) combined with guessing (which may feel confident). What/Where may differ if object vs spatial memory have different metacognitive access.	DERIVED: Item-level data with domain tags. Sample: ~27,200 item-responses.	(0) Extract item-level TQ_ and TC_ by domain. (1) Compute HCE rate per domain per timepoint. (2) Fit LMM: HCE_rate ~ Domain × Time + (Time | UID). (3) Test Domain effects. (4) Rank domains by HCE rate.	data/step01_hce_by_domain.csv (1200 rows); results/step02_domain_hce_lmm.txt; results/step03_domain_effects.csv; plots/step04_hce_by_domain.csv	HCE by domain computed. Domain effects tested.
6.7.1	Predictive	Day 0 Confidence	NEW	No	Does high initial confidence predict slower forgetting?	High Day 0 confidence may predict slower forgetting slope (well-encoded items have both high confidence and slower decay). Test: Day0_confidence × forgetting_slope correlation. Alternatively, confidence may NOT predict forgetting if metacognitive judgments are imperfect.	DERIVED: Day 0 confidence from 6.1.1 (theta at T1). Forgetting slope from Ch5 5.1.4 random slopes.	(0) Load Day 0 confidence and forgetting slopes. (1) Compute correlation: Day0_confidence vs slope. (2) Test if high confidence predicts slower forgetting. (3) Tertile analysis (High/Med/Low confidence, compare slopes).	data/step01_predictive_data.csv (100 rows); results/step02_correlation.csv; results/step03_tertile_slopes.csv; plots/step04_confidence_predicts_forgetting.csv	Correlation computed with dual p-values. Tertile comparison. Direction of effect documented.
6.7.2	Predictive	Confidence Variability	NEW	No	Do people with variable confidence show variable memory?	High within-person confidence variability (SD of confidence across items) may predict high within-person accuracy variability. Metacognitive noise may reflect encoding noise. Test: SD_confidence vs SD_accuracy correlation.	DERIVED: Item-level confidence and accuracy. Compute within-person SD at each timepoint.	(0) Compute within-person SD of confidence per timepoint. (1) Compute within-person SD of accuracy per timepoint. (2) Correlate SD_confidence vs SD_accuracy. (3) Test if variability predicts variability.	data/step01_sd_confidence.csv (400 rows); data/step02_sd_accuracy.csv (400 rows); results/step03_correlation.csv; plots/step04_variability_correlation.csv	SD computed. Correlation tested. Direction documented.
6.7.3	Predictive	Calibration Predicts	NEW	No	Are well-calibrated people more stable forgetters?	Good calibration at Day 0 may predict more predictable (less variable) forgetting trajectories. Metacognitive skill may correlate with stable consolidation. Test: Day0_calibration vs trajectory_variability.	DERIVED: Day 0 calibration from 6.2.1. Trajectory variability = residual SD from LMM in Ch5 5.1.1.	(0) Load Day 0 calibration and trajectory residuals. (1) Compute individual trajectory variability (SD of residuals). (2) Correlate Day0_calibration vs variability. (3) Test if good calibration predicts stable trajectories.	data/step01_calibration_variability.csv (100 rows); results/step02_correlation.csv; plots/step03_calibration_predicts_stability.csv	Correlation computed. Direction documented.
6.8.1	Source-Dest Confidence	Trajectories	NEW	No	Do source (-U-) and destination (-D-) locations show different confidence decline?	Destination may show faster confidence decline (matching Ch5 5.5.1 accuracy pattern). Source-destination dissociation should replicate in confidence if it reflects fundamental memory processing difference. Test: LocationType × Time interaction.	Source: data/cache/dfData.csv. Filter TC_* to -U- (source) and -D- (destination) tags. Sample: N=100 × 4 tests × 2 locations = 800 observations.	(0) Extract TC_* for -U- and -D- items. (1) IRT Pass 1: 2-factor GRM. (2) Purify. (3) IRT Pass 2. (4) Fit LMM with LocationType × Time. (5) Compare to Ch5 5.5.1.	data/step03_theta_confidence_location.csv (800 rows); results/step05_lmm_summary.txt; results/step06_location_contrasts.csv; results/step07_ch5_comparison.csv	800 observations. Location × Time tested. Ch5 5.5.1 comparison.
6.8.2	Source-Dest Confidence	Calibration	NEW	No	Are people better calibrated for source or destination memory?	Source may be BETTER calibrated (lower uncertainty about pick-up locations, where initial object identification occurs). Destination may show overconfidence (put-down is automatic, feels familiar but decays faster). Test: LocationType × calibration.	DERIVED: Accuracy from Ch5 5.5.1, Confidence from RQ 6.8.1. Sample: 800 observations.	(0) Merge accuracy and confidence by location type. (1) Compute calibration per location. (2) Fit LMM: Calibration ~ LocationType × Time. (3) Test which location is better calibrated.	data/step01_calibration_by_location.csv (800 rows); results/step02_lmm_summary.txt; results/step03_location_effects.csv; plots/step04_calibration_by_location.csv	800 observations. Calibration by location. Location effect tested.
