Name,Label,Function,Type,Regex
TQ_IFR-U-i4,TQ_IFR-U-i4,sum,vr,IFR-U-i4.*ANS
TQ_IFR-U-i5,TQ_IFR-U-i5,sum,vr,IFR-U-i5.*ANS
TQ_IFR-U-i6,TQ_IFR-U-i6,sum,vr,IFR-U-i6.*ANS
TQ_IFR-D-i1,TQ_IFR-D-i1,sum,vr,IFR-D-i1.*ANS
TQ_IFR-D-i2,TQ_IFR-D-i2,sum,vr,IFR-D-i2.*ANS
TQ_IFR-D-i3,TQ_IFR-D-i3,sum,vr,IFR-D-i3.*ANS
TQ_IFR-D-i4,TQ_IFR-D-i4,sum,vr,IFR-D-i4.*ANS
TQ_IFR-D-i5,TQ_IFR-D-i5,sum,vr,IFR-D-i5.*ANS
TQ_IFR-D-i6,TQ_IFR-D-i6,sum,vr,IFR-D-i6.*ANS
TQ_IFR-O-i1,TQ_IFR-O-i1,sum,vr,IFR-O-i1.*ANS
TQ_IFR-O-i2,TQ_IFR-O-i2,sum,vr,IFR-O-i2.*ANS
TQ_IFR-O-i3,TQ_IFR-O-i3,sum,vr,IFR-O-i3.*ANS
TQ_IFR-O-i4,TQ_IFR-O-i4,sum,vr,IFR-O-i4.*ANS
TQ_IFR-O-i5,TQ_IFR-O-i5,sum,vr,IFR-O-i5.*ANS
TQ_IFR-O-i6,TQ_IFR-O-i6,sum,vr,IFR-O-i6.*ANS
TQ_TCR-O-TSK1,TQ_TCR-O-TSK1,sum,vr,TCR-O-TSK1-ANS
TQ_TCR-O-TSK2,TQ_TCR-O-TSK2,sum,vr,TCR-O-TSK2-ANS
TQ_TCR-O-TSK3,TQ_TCR-O-TSK3,sum,vr,TCR-O-TSK3-ANS
TQ_TCR-O-TSK4,TQ_TCR-O-TSK4,sum,vr,TCR-O-TSK4-ANS
TQ_TCR-O-TSK5,TQ_TCR-O-TSK5,sum,vr,TCR-O-TSK5-ANS
TQ_TCR-O-TSK6,TQ_TCR-O-TSK6,sum,vr,TCR-O-TSK6-ANS
TQ_ICR-N-i1,TQ_ICR-N-i1,sum,vr,ICR-N-i1.*ANS
TQ_ICR-N-i2,TQ_ICR-N-i2,sum,vr,ICR-N-i2.*ANS
TQ_ICR-N-i3,TQ_ICR-N-i3,sum,vr,ICR-N-i3.*ANS
TQ_ICR-N-i4,TQ_ICR-N-i4,sum,vr,ICR-N-i4.*ANS
TQ_ICR-N-i5,TQ_ICR-N-i5,sum,vr,ICR-N-i5.*ANS
TQ_ICR-N-i6,TQ_ICR-N-i6,sum,vr,ICR-N-i6.*ANS
TQ_ICR-U-i1,TQ_ICR-U-i1,sum,vr,ICR-U-i1.*ANS
TQ_ICR-U-i2,TQ_ICR-U-i2,sum,vr,ICR-U-i2.*ANS
TQ_ICR-U-i3,TQ_ICR-U-i3,sum,vr,ICR-U-i3.*ANS
TQ_ICR-U-i4,TQ_ICR-U-i4,sum,vr,ICR-U-i4.*ANS
TQ_ICR-U-i5,TQ_ICR-U-i5,sum,vr,ICR-U-i5.*ANS
TQ_ICR-U-i6,TQ_ICR-U-i6,sum,vr,ICR-U-i6.*ANS
TQ_ICR-D-i1,TQ_ICR-D-i1,sum,vr,ICR-D-i1.*ANS
TQ_ICR-D-i2,TQ_ICR-D-i2,sum,vr,ICR-D-i2.*ANS
TQ_ICR-D-i3,TQ_ICR-D-i3,sum,vr,ICR-D-i3.*ANS
TQ_ICR-D-i4,TQ_ICR-D-i4,sum,vr,ICR-D-i4.*ANS
TQ_ICR-D-i5,TQ_ICR-D-i5,sum,vr,ICR-D-i5.*ANS
TQ_ICR-D-i6,TQ_ICR-D-i6,sum,vr,ICR-D-i6.*ANS
TQ_ICR-O-i1,TQ_ICR-O-i1,sum,vr,ICR-O-i1.*ANS
TQ_ICR-O-i2,TQ_ICR-O-i2,sum,vr,ICR-O-i2.*ANS
TQ_ICR-O-i3,TQ_ICR-O-i3,sum,vr,ICR-O-i3.*ANS
TQ_ICR-O-i4,TQ_ICR-O-i4,sum,vr,ICR-O-i4.*ANS
TQ_ICR-O-i5,TQ_ICR-O-i5,sum,vr,ICR-O-i5.*ANS
TQ_ICR-O-i6,TQ_ICR-O-i6,sum,vr,ICR-O-i6.*ANS
TQ_RRE-L-DOOR,TQ_RRE-L-DOOR,sum,vr,RRE-L-DOOR-ANS
TQ_RRE-L-WIND,TQ_RRE-L-WIND,sum,vr,RRE-L-WIND-ANS
TQ_RRE-N-LAND,TQ_RRE-N-LAND,sum,vr,RRE-N-LAND-ANS
TQ_RRE-L-LAND,TQ_RRE-L-LAND,sum,vr,RRE-L-LAND-ANS
TQ_RRE-N-PORT,TQ_RRE-N-PORT,sum,vr,RRE-N-PORT-ANS
TQ_RRE-L-PORT,TQ_RRE-L-PORT,sum,vr,RRE-L-PORT-ANS
TQ_RRE-N-STRA,TQ_RRE-N-STRA,sum,vr,RRE-N-STRA-ANS
TQ_RRE-L-STRA,TQ_RRE-L-STRA,sum,vr,RRE-L-STRA-ANS
TQ_IRE-N-i1,TQ_IRE-N-i1,sum,vr,IRE-N-i1.*ANS
TQ_IRE-N-i2,TQ_IRE-N-i2,sum,vr,IRE-N-i2.*ANS
TQ_IRE-N-i3,TQ_IRE-N-i3,sum,vr,IRE-N-i3.*ANS
TQ_IRE-N-i4,TQ_IRE-N-i4,sum,vr,IRE-N-i4.*ANS
TQ_IRE-N-i5,TQ_IRE-N-i5,sum,vr,IRE-N-i5.*ANS
TQ_IRE-N-i6,TQ_IRE-N-i6,sum,vr,IRE-N-i6.*ANS
TQ_IRE-U-i1,TQ_IRE-U-i1,sum,vr,IRE-U-i1.*ANS
TQ_IRE-U-i2,TQ_IRE-U-i2,sum,vr,IRE-U-i2.*ANS
TQ_IRE-U-i3,TQ_IRE-U-i3,sum,vr,IRE-U-i3.*ANS
TQ_IRE-U-i4,TQ_IRE-U-i4,sum,vr,IRE-U-i4.*ANS
TQ_IRE-U-i5,TQ_IRE-U-i5,sum,vr,IRE-U-i5.*ANS
TQ_IRE-U-i6,TQ_IRE-U-i6,sum,vr,IRE-U-i6.*ANS
TQ_IRE-D-i1,TQ_IRE-D-i1,sum,vr,IRE-D-i1.*ANS
TQ_IRE-D-i2,TQ_IRE-D-i2,sum,vr,IRE-D-i2.*ANS
TQ_IRE-D-i3,TQ_IRE-D-i3,sum,vr,IRE-D-i3.*ANS
TQ_IRE-D-i4,TQ_IRE-D-i4,sum,vr,IRE-D-i4.*ANS
TQ_IRE-D-i5,TQ_IRE-D-i5,sum,vr,IRE-D-i5.*ANS
TQ_IRE-D-i6,TQ_IRE-D-i6,sum,vr,IRE-D-i6.*ANS
TQ_IRE-O-i1,TQ_IRE-O-i1,sum,vr,IRE-O-i1.*ANS
TQ_IRE-O-i2,TQ_IRE-O-i2,sum,vr,IRE-O-i2.*ANS
TQ_IRE-O-i3,TQ_IRE-O-i3,sum,vr,IRE-O-i3.*ANS
TQ_IRE-O-i4,TQ_IRE-O-i4,sum,vr,IRE-O-i4.*ANS
TQ_IRE-O-i5,TQ_IRE-O-i5,sum,vr,IRE-O-i5.*ANS
TQ_IRE-O-i6,TQ_IRE-O-i6,sum,vr,IRE-O-i6.*ANS
TC_RFR-N-OBJ1,TC_RFR-N-OBJ1,sum,vr,RFR-N-OBJ1-CON
TC_RFR-N-OBJ2,TC_RFR-N-OBJ2,sum,vr,RFR-N-OBJ2-CON
TC_RFR-N-OBJ3,TC_RFR-N-OBJ3,sum,vr,RFR-N-OBJ3-CON
TC_RFR-N-OBJ4,TC_RFR-N-OBJ4,sum,vr,RFR-N-OBJ4-CON
TC_RFR-N-STRA,TC_RFR-N-STRA,sum,vr,RFR-N-STRA-CON
TC_RFR-N-PORT,TC_RFR-N-PORT,sum,vr,RFR-N-PORT-CON
TC_RFR-N-LAND,TC_RFR-N-LAND,sum,vr,RFR-N-LAND-CON
TC_IFR-N-i1,TC_IFR-N-i1,sum,vr,IFR-N-i1.*CON
TC_IFR-N-i2,TC_IFR-N-i2,sum,vr,IFR-N-i2.*CON
TC_IFR-N-i3,TC_IFR-N-i3,sum,vr,IFR-N-i3.*CON
TC_IFR-N-i4,TC_IFR-N-i4,sum,vr,IFR-N-i4.*CON
TC_IFR-N-i5,TC_IFR-N-i5,sum,vr,IFR-N-i5.*CON
TC_IFR-N-i6,TC_IFR-N-i6,sum,vr,IFR-N-i6.*CON
TC_RFR-O-RORD,TC_RFR-O-RORD,sum,vr,RFR-O-RORD-CON
TC_RFR-O-TMOD,TC_RFR-O-TMOD,sum,vr,RFR-O-TMOD-CON
TC_RFR-N-WEAT,TC_RFR-N-WEAT,sum,vr,RFR-N-WEAT-CON
TC_RFR-L-OBJ1,TC_RFR-L-OBJ1,sum,vr,RFR-L-OBJ1-CON
TC_RFR-L-OBJ2,TC_RFR-L-OBJ2,sum,vr,RFR-L-OBJ2-CON
TC_RFR-L-OBJ3,TC_RFR-L-OBJ3,sum,vr,RFR-L-OBJ3-CON
TC_RFR-L-OBJ4,TC_RFR-L-OBJ4,sum,vr,RFR-L-OBJ4-CON
TC_RFR-L-DOOR,TC_RFR-L-DOOR,sum,vr,RFR-L-DOOR-CON
TC_RFR-L-WIND,TC_RFR-L-WIND,sum,vr,RFR-L-WIND-CON
TC_RFR-L-PORT,TC_RFR-L-PORT,sum,vr,RFR-L-PORT-CON
TC_RFR-L-LAND,TC_RFR-L-LAND,sum,vr,RFR-L-LAND-CON
TC_RFR-L-STRA,TC_RFR-L-STRA,sum,vr,RFR-L-STRA-CON
TC_IFR-U-i1,TC_IFR-U-i1,sum,vr,IFR-U-i1.*CON
TC_IFR-U-i2,TC_IFR-U-i2,sum,vr,IFR-U-i2.*CON
TC_IFR-U-i3,TC_IFR-U-i3,sum,vr,IFR-U-i3.*CON
TC_IFR-U-i4,TC_IFR-U-i4,sum,vr,IFR-U-i4.*CON
TC_IFR-U-i5,TC_IFR-U-i5,sum,vr,IFR-U-i5.*CON
TC_IFR-U-i6,TC_IFR-U-i6,sum,vr,IFR-U-i6.*CON
TC_IFR-D-i1,TC_IFR-D-i1,sum,vr,IFR-D-i1.*CON
TC_IFR-D-i2,TC_IFR-D-i2,sum,vr,IFR-D-i2.*CON
TC_IFR-D-i3,TC_IFR-D-i3,sum,vr,IFR-D-i3.*CON
TC_IFR-D-i4,TC_IFR-D-i4,sum,vr,IFR-D-i4.*CON
TC_IFR-D-i5,TC_IFR-D-i5,sum,vr,IFR-D-i5.*CON
TC_IFR-D-i6,TC_IFR-D-i6,sum,vr,IFR-D-i6.*CON
TC_IFR-O-i1,TC_IFR-O-i1,sum,vr,IFR-O-i1.*CON
TC_IFR-O-i2,TC_IFR-O-i2,sum,vr,IFR-O-i2.*CON
TC_IFR-O-i3,TC_IFR-O-i3,sum,vr,IFR-O-i3.*CON
TC_IFR-O-i4,TC_IFR-O-i4,sum,vr,IFR-O-i4.*CON
TC_IFR-O-i5,TC_IFR-O-i5,sum,vr,IFR-O-i5.*CON
TC_IFR-O-i6,TC_IFR-O-i6,sum,vr,IFR-O-i6.*CON
TC_TCR-O-TSK1,TC_TCR-O-TSK1,sum,vr,TCR-O-TSK1-CON
TC_TCR-O-TSK2,TC_TCR-O-TSK2,sum,vr,TCR-O-TSK2-CON
TC_TCR-O-TSK3,TC_TCR-O-TSK3,sum,vr,TCR-O-TSK3-CON
TC_TCR-O-TSK4,TC_TCR-O-TSK4,sum,vr,TCR-O-TSK4-CON
TC_TCR-O-TSK5,TC_TCR-O-TSK5,sum,vr,TCR-O-TSK5-CON
TC_TCR-O-TSK6,TC_TCR-O-TSK6,sum,vr,TCR-O-TSK6-CON
TC_ICR-N-i1,TC_ICR-N-i1,sum,vr,ICR-N-i1.*CON
TC_ICR-N-i2,TC_ICR-N-i2,sum,vr,ICR-N-i2.*CON
TC_ICR-N-i3,TC_ICR-N-i3,sum,vr,ICR-N-i3.*CON
TC_ICR-N-i4,TC_ICR-N-i4,sum,vr,ICR-N-i4.*CON
TC_ICR-N-i5,TC_ICR-N-i5,sum,vr,ICR-N-i5.*CON
TC_ICR-N-i6,TC_ICR-N-i6,sum,vr,ICR-N-i6.*CON
TC_ICR-U-i1,TC_ICR-U-i1,sum,vr,ICR-U-i1.*CON
TC_ICR-U-i2,TC_ICR-U-i2,sum,vr,ICR-U-i2.*CON
TC_ICR-U-i3,TC_ICR-U-i3,sum,vr,ICR-U-i3.*CON
TC_ICR-U-i4,TC_ICR-U-i4,sum,vr,ICR-U-i4.*CON
TC_ICR-U-i5,TC_ICR-U-i5,sum,vr,ICR-U-i5.*CON
TC_ICR-U-i6,TC_ICR-U-i6,sum,vr,ICR-U-i6.*CON
TC_ICR-D-i1,TC_ICR-D-i1,sum,vr,ICR-D-i1.*CON
TC_ICR-D-i2,TC_ICR-D-i2,sum,vr,ICR-D-i2.*CON
TC_ICR-D-i3,TC_ICR-D-i3,sum,vr,ICR-D-i3.*CON
TC_ICR-D-i4,TC_ICR-D-i4,sum,vr,ICR-D-i4.*CON
TC_ICR-D-i5,TC_ICR-D-i5,sum,vr,ICR-D-i5.*CON
TC_ICR-D-i6,TC_ICR-D-i6,sum,vr,ICR-D-i6.*CON
TC_ICR-O-i1,TC_ICR-O-i1,sum,vr,ICR-O-i1.*CON
TC_ICR-O-i2,TC_ICR-O-i2,sum,vr,ICR-O-i2.*CON
TC_ICR-O-i3,TC_ICR-O-i3,sum,vr,ICR-O-i3.*CON
TC_ICR-O-i4,TC_ICR-O-i4,sum,vr,ICR-O-i4.*CON
TC_ICR-O-i5,TC_ICR-O-i5,sum,vr,ICR-O-i5.*CON
TC_ICR-O-i6,TC_ICR-O-i6,sum,vr,ICR-O-i6.*CON
TC_RRE-L-DOOR,TC_RRE-L-DOOR,sum,vr,RRE-L-DOOR-CON
TC_RRE-L-WIND,TC_RRE-L-WIND,sum,vr,RRE-L-WIND-CON
TC_RRE-N-LAND,TC_RRE-N-LAND,sum,vr,RRE-N-LAND-CON
TC_RRE-L-LAND,TC_RRE-L-LAND,sum,vr,RRE-L-LAND-CON
TC_RRE-N-PORT,TC_RRE-N-PORT,sum,vr,RRE-N-PORT-CON
TC_RRE-L-PORT,TC_RRE-L-PORT,sum,vr,RRE-L-PORT-CON
TC_RRE-N-STRA,TC_RRE-N-STRA,sum,vr,RRE-N-STRA-CON
TC_RRE-L-STRA,TC_RRE-L-STRA,sum,vr,RRE-L-STRA-CON
TC_IRE-N-i1,TC_IRE-N-i1,sum,vr,IRE-N-i1.*CON
TC_IRE-N-i2,TC_IRE-N-i2,sum,vr,IRE-N-i2.*CON
TC_IRE-N-i3,TC_IRE-N-i3,sum,vr,IRE-N-i3.*CON
TC_IRE-N-i4,TC_IRE-N-i4,sum,vr,IRE-N-i4.*CON
TC_IRE-N-i5,TC_IRE-N-i5,sum,vr,IRE-N-i5.*CON
TC_IRE-N-i6,TC_IRE-N-i6,sum,vr,IRE-N-i6.*CON
TC_IRE-U-i1,TC_IRE-U-i1,sum,vr,IRE-U-i1.*CON
TC_IRE-U-i2,TC_IRE-U-i2,sum,vr,IRE-U-i2.*CON
TC_IRE-U-i3,TC_IRE-U-i3,sum,vr,IRE-U-i3.*CON
TC_IRE-U-i4,TC_IRE-U-i4,sum,vr,IRE-U-i4.*CON
TC_IRE-U-i5,TC_IRE-U-i5,sum,vr,IRE-U-i5.*CON
TC_IRE-U-i6,TC_IRE-U-i6,sum,vr,IRE-U-i6.*CON
TC_IRE-D-i1,TC_IRE-D-i1,sum,vr,IRE-D-i1.*CON
TC_IRE-D-i2,TC_IRE-D-i2,sum,vr,IRE-D-i2.*CON
TC_IRE-D-i3,TC_IRE-D-i3,sum,vr,IRE-D-i3.*CON
TC_IRE-D-i4,TC_IRE-D-i4,sum,vr,IRE-D-i4.*CON
TC_IRE-D-i5,TC_IRE-D-i5,sum,vr,IRE-D-i5.*CON
TC_IRE-D-i6,TC_IRE-D-i6,sum,vr,IRE-D-i6.*CON
TC_IRE-O-i1,TC_IRE-O-i1,sum,vr,IRE-O-i1.*CON
TC_IRE-O-i2,TC_IRE-O-i2,sum,vr,IRE-O-i2.*CON
TC_IRE-O-i3,TC_IRE-O-i3,sum,vr,IRE-O-i3.*CON
TC_IRE-O-i4,TC_IRE-O-i4,sum,vr,IRE-O-i4.*CON
TC_IRE-O-i5,TC_IRE-O-i5,sum,vr,IRE-O-i5.*CON
TC_IRE-O-i6,TC_IRE-O-i6,sum,vr,IRE-O-i6.*CON
NART Time,nart-time,sum,cog,COG-X-NAR-Time
NART Score,nart-score,sum,cog,COG-X-NAR-Scor
RPM Time,rpm-time,sum,cog,COG-X-RPM-Time
RPM Score,rpm-score,sum,cog,COG-X-RPM-Scor
RPM Tr01 answer,rpm-tr01-answer,sum,cog,COG-X-RPM-Tr01
RPM Tr02 answer,rpm-tr02-answer,sum,cog,COG-X-RPM-Tr02
RPM Tr03 answer,rpm-tr03-answer,sum,cog,COG-X-RPM-Tr03
RPM Tr04 answer,rpm-tr04-answer,sum,cog,COG-X-RPM-Tr04
RPM Tr05 answer,rpm-tr05-answer,sum,cog,COG-X-RPM-Tr05
RPM Tr06 answer,rpm-tr06-answer,sum,cog,COG-X-RPM-Tr06
RPM Tr07 answer,rpm-tr07-answer,sum,cog,COG-X-RPM-Tr07
RPM Tr08 answer,rpm-tr08-answer,sum,cog,COG-X-RPM-Tr08
RPM Tr09 answer,rpm-tr09-answer,sum,cog,COG-X-RPM-Tr09
RPM Tr10 answer,rpm-tr10-answer,sum,cog,COG-X-RPM-Tr10
RPM Tr11 answer,rpm-tr11-answer,sum,cog,COG-X-RPM-Tr11
RPM Tr12 answer,rpm-tr12-answer,sum,cog,COG-X-RPM-Tr12
BVMT Form Number,bvmt-form-number,sum,cog,COG-X-BVM-Form
BVMT trial 1 time,bvmt-trial-1-time,sum,cog,COG-X-BVM-T1Ti
BVMT trial 1 score,bvmt-trial-1-score,sum,cog,COG-X-BVM-T1Sc
BVMT trial 2 time,bvmt-trial-2-time,sum,cog,COG-X-BVM-T2Ti
BVMT trial 2 score,bvmt-trial-2-score,sum,cog,COG-X-BVM-T2Sc
BVMT trial 3 time,bvmt-trial-3-time,sum,cog,COG-X-BVM-T3Ti
BVMT trial 3 score,bvmt-trial-3-score,sum,cog,COG-X-BVM-T3Sc
BVMT delayed recall delay period,bvmt-delayed-recall-delay-period,sum,cog,COG-X-BVM-TDTD
BVMT delayed recall time,bvmt-delayed-recall-time,sum,cog,COG-X-BVM-TDTi
BVMT delayed recall score,bvmt-delayed-recall-score,sum,cog,COG-X-BVM-TDSc
BVMT total recall,bvmt-total-recall,sum,cog,COG-X-BVM-TotR
BVMT learning,bvmt-learning,sum,cog,COG-X-BVM-Lear
BVMT percent retained,bvmt-percent-retained,sum,cog,COG-X-BVM-PerR
BVMT recognition hits,bvmt-recognition-hits,sum,cog,COG-X-BVM-ReHi
BVMT recognition falsealarms,bvmt-recognition-falsealarms,sum,cog,COG-X-BVM-ReFA
BVMT recognition discrimination index,bvmt-recognition-discrimination-index,sum,cog,COG-X-BVM-ReDI
BVMT recognition response bias,bvmt-recognition-response-bias,sum,cog,COG-X-BVM-ReRB
RAVLT trial 1 time,ravlt-trial-1-time,sum,cog,COG-X-RAV-T1Ti
RAVLT trial 1 score,ravlt-trial-1-score,sum,cog,COG-X-RAV-T1Sc
RAVLT trial 2 time,ravlt-trial-2-time,sum,cog,COG-X-RAV-T2Ti
RAVLT trial 2 score,ravlt-trial-2-score,sum,cog,COG-X-RAV-T2Sc
RAVLT trial 3 time,ravlt-trial-3-time,sum,cog,COG-X-RAV-T3Ti
RAVLT trial 3 score,ravlt-trial-3-score,sum,cog,COG-X-RAV-T3Sc
RAVLT trial 4 time,ravlt-trial-4-time,sum,cog,COG-X-RAV-T4Ti
RAVLT trial 4 score,ravlt-trial-4-score,sum,cog,COG-X-RAV-T4Sc
RAVLT trial 5 time,ravlt-trial-5-time,sum,cog,COG-X-RAV-T5Ti
RAVLT trial 5 score,ravlt-trial-5-score,sum,cog,COG-X-RAV-T5Sc
RAVLT distraction trial time,ravlt-distraction-trial-time,sum,cog,COG-X-RAV-TDTi
RAVLT distraction trial score,ravlt-distraction-trial-score,sum,cog,COG-X-RAV-TDSc
RAVLT free recall time,ravlt-free-recall-time,sum,cog,COG-X-RAV-FRTi
RAVLT free recall score,ravlt-free-recall-score,sum,cog,COG-X-RAV-FRSc
RAVLT delayed recall delay period,ravlt-delayed-recall-delay-period,sum,cog,COG-X-RAV-DRDe
RAVLT delayed recall time,ravlt-delayed-recall-time,sum,cog,COG-X-RAV-DRTi
RAVLT delayed recall score,ravlt-delayed-recall-score,sum,cog,COG-X-RAV-DRSc
RAVLT recognition hits ,ravlt-recognition-hits-,sum,cog,COG-X-RAV-RXXA
RAVLT recognition semantic misses,ravlt-recognition-semantic-misses,sum,cog,COG-X-RAV-RXSA
RAVLT recognition phonetic misses,ravlt-recognition-phonetic-misses,sum,cog,COG-X-RAV-RXPA
RAVLT recognition semantic phonetic misses,ravlt-recognition-semantic-phonetic-misses,sum,cog,COG-X-RAV-RSPA
RAVLT recognition distraction misses,ravlt-recognition-distraction-misses,sum,cog,COG-X-RAV-RXXB
RAVLT recognition distract phonetic misses,ravlt-recognition-distract-phonetic-misses,sum,cog,COG-X-RAV-RXPB
RAVLT recognition distract semantic misses,ravlt-recognition-distract-semantic-misses,sum,cog,COG-X-RAV-RXSB
RAVLT recognition distract smenaitc and pohonetic misses,ravlt-recognition-distract-smenaitc-and-pohonetic-misses,sum,cog,COG-X-RAV-RSPB
REMEMVR bathroom task 01 duration,rememvr-bathroom-task-01-duration,sum,cog,COG-X-REM-BA01
REMEMVR bathroom task 02 duration,rememvr-bathroom-task-02-duration,sum,cog,COG-X-REM-BA02
REMEMVR bathroom task 03 duration,rememvr-bathroom-task-03-duration,sum,cog,COG-X-REM-BA03
REMEMVR bathroom task 04 duration,rememvr-bathroom-task-04-duration,sum,cog,COG-X-REM-BA04
REMEMVR bathroom task 05 duration,rememvr-bathroom-task-05-duration,sum,cog,COG-X-REM-BA05
REMEMVR bathroom task 06 duration,rememvr-bathroom-task-06-duration,sum,cog,COG-X-REM-BA06
REMEMVR bathroom task 07 duration,rememvr-bathroom-task-07-duration,sum,cog,COG-X-REM-BA07
REMEMVR bathroom task 08 duration,rememvr-bathroom-task-08-duration,sum,cog,COG-X-REM-BA08
REMEMVR bathroom task 09 duration,rememvr-bathroom-task-09-duration,sum,cog,COG-X-REM-BA09
REMEMVR bathroom task 10 duration,rememvr-bathroom-task-10-duration,sum,cog,COG-X-REM-BA10
REMEMVR bathroom task 11 duration,rememvr-bathroom-task-11-duration,sum,cog,COG-X-REM-BA11
REMEMVR bathroom task 12 duration,rememvr-bathroom-task-12-duration,sum,cog,COG-X-REM-BA12
REMEMVR bedroom task 01 duration,rememvr-bedroom-task-01-duration,sum,cog,COG-X-REM-BE01
REMEMVR bedroom task 02 duration,rememvr-bedroom-task-02-duration,sum,cog,COG-X-REM-BE02
REMEMVR bedroom task 03 duration,rememvr-bedroom-task-03-duration,sum,cog,COG-X-REM-BE03
REMEMVR bedroom task 04 duration,rememvr-bedroom-task-04-duration,sum,cog,COG-X-REM-BE04
REMEMVR bedroom task 05 duration,rememvr-bedroom-task-05-duration,sum,cog,COG-X-REM-BE05
REMEMVR bedroom task 06 duration,rememvr-bedroom-task-06-duration,sum,cog,COG-X-REM-BE06
REMEMVR bedroom task 07 duration,rememvr-bedroom-task-07-duration,sum,cog,COG-X-REM-BE07
REMEMVR bedroom task 08 duration,rememvr-bedroom-task-08-duration,sum,cog,COG-X-REM-BE08
REMEMVR bedroom task 09 duration,rememvr-bedroom-task-09-duration,sum,cog,COG-X-REM-BE09
REMEMVR bedroom task 10 duration,rememvr-bedroom-task-10-duration,sum,cog,COG-X-REM-BE10
REMEMVR bedroom task 11 duration,rememvr-bedroom-task-11-duration,sum,cog,COG-X-REM-BE11
REMEMVR bedroom task 12 duration,rememvr-bedroom-task-12-duration,sum,cog,COG-X-REM-BE12
REMEMVR kitchen task 01 duration,rememvr-kitchen-task-01-duration,sum,cog,COG-X-REM-KI01
REMEMVR kitchen task 02 duration,rememvr-kitchen-task-02-duration,sum,cog,COG-X-REM-KI02
REMEMVR kitchen task 03 duration,rememvr-kitchen-task-03-duration,sum,cog,COG-X-REM-KI03
REMEMVR kitchen task 04 duration,rememvr-kitchen-task-04-duration,sum,cog,COG-X-REM-KI04
REMEMVR kitchen task 05 duration,rememvr-kitchen-task-05-duration,sum,cog,COG-X-REM-KI05
REMEMVR kitchen task 06 duration,rememvr-kitchen-task-06-duration,sum,cog,COG-X-REM-KI06
REMEMVR kitchen task 07 duration,rememvr-kitchen-task-07-duration,sum,cog,COG-X-REM-KI07
REMEMVR kitchen task 08 duration,rememvr-kitchen-task-08-duration,sum,cog,COG-X-REM-KI08
REMEMVR kitchen task 09 duration,rememvr-kitchen-task-09-duration,sum,cog,COG-X-REM-KI09
REMEMVR kitchen task 10 duration,rememvr-kitchen-task-10-duration,sum,cog,COG-X-REM-KI10
